community,count,location
庆安路51弄,21,"121.428725,31.409305"
菊泉新村,12,"121.373164,31.356919"
龙缘花园,2,"121.441730,31.335956"
呼玛二村,18,"121.444664,31.342014"
香泉路85弄,12,"121.412954,31.264111"
桂林路505弄,10,"121.416278,31.175767"
春雷路354弄,240,"121.433281,31.411683"
塔源路150弄,113,"121.398138,31.446113"
梅岭南路320弄,12,"121.411554,31.239396"
罗店镇罗溪路1079弄,2,"121.342203,31.427641"
月浦八村,907,"121.426024,31.416042"
海滨七村,9,"121.497607,31.385640"
普陀区真北路1524弄,1,"121.387701,31.243648"
宝山区绥化路260弄,7,"121.429220,31.405864"
月浦六村,202,"121.421464,31.418884"
月浦四村,178,"121.424590,31.418038"
盘古路927弄,13,"121.461523,31.402304"
富锦路1815弄,153,"121.434343,31.404076"
月浦五村,270,"121.426982,31.418518"
春雷路331弄,207,"121.435827,31.409304"
春雷路431弄,122,"121.436353,31.410133"
沙浦路128弄,6,"121.388523,31.356735"
德都路168弄,213,"121.423539,31.408439"
德都路28弄,125,"121.425506,31.403115"
镇德都路88弄,31,"121.425625,31.406298"
泗泾镇城置路282弄,1,"121.244485,31.115947"
月浦镇塔源路58弄,11,"121.400682,31.444345"
月浦镇绥化路52弄,22,"121.435692,31.405312"
庆安一村,171,"121.435777,31.407545"
马泾桥四村,75,"121.412020,31.417843"
盘古路927号,2,"121.462640,31.401523"
宝城二村,8,"121.489254,31.410238"
月浦九村,293,"121.423066,31.413506"
宝钢八村,83,"121.479392,31.408138"
罗店镇美丰路88弄,2,"121.356498,31.409522"
月浦七村,174,"121.422850,31.417526"
顾村,56,"121.376184,31.367431"
春雷路250弄,59,"121.434100,31.406685"
绥化路260弄,123,"121.428683,31.407413"
汉阳路,23,"121.491506,31.249456"
呼玛三村,14,"121.441420,31.339161"
利物浦阁,1,
蕴川路2488弄,3,"121.420720,31.392502"
华能城市花园,11,"121.484119,31.395772"
杨行镇杨鑫路98弄,4,"121.450984,31.370626"
双辽支路65弄,14,"121.515987,31.269418"
宝钢三村,37,"121.486631,31.406873"
石岚新村,3,"121.446780,31.208448"
平型关路1083弄,12,"121.458992,31.282314"
控江路,14,"121.525752,31.277489"
镇德都路165弄,41,"121.427032,31.408710"
友谊路1999弄,28,"121.446994,31.391104"
同济路1111弄,37,"121.477571,31.404534"
殷行路850弄,39,"121.524715,31.329058"
淞南八村,21,"121.480629,31.334708"
月浦十村,394,"121.430282,31.414210"
凉城路450弄,1,"121.470882,31.288510"
四元路20弄,218,"121.434718,31.413175"
杨桃路3288弄,1,"121.438610,31.372097"
宝山区富锦路1659弄,22,"121.441896,31.403012"
春雷路332弄,137,"121.432594,31.410105"
杨泰三村,96,"121.439743,31.380441"
月浦三村,331,"121.429422,31.418408"
水产路2600弄,10,"121.442931,31.365043"
共富三村,9,"121.426483,31.347832"
友谊西路588号,1,"121.417076,31.379519"
罗店镇美平路288弄,14,"121.348084,31.390761"
泗塘五村,2,"121.461686,31.333007"
德都路35弄,81,"121.429911,31.403231"
通河八村,45,"121.447569,31.329509"
塔源路258弄,59,"121.399624,31.449025"
徐汇区斜土路2200弄,19,"121.449739,31.192165"
天山路,23,"121.382011,31.217226"
丽都花苑,1,
宛平南路255弄,11,"121.446903,31.193218"
纬地路99弄,11,"121.404861,31.324929"
绥化路265弄,65,"121.428067,31.406151"
月罗公路259弄,15,"121.414055,31.421055"
,970,
盛桥一村,92,"121.402884,31.451148"
陈行村,18,"121.342655,31.480112"
德都路50弄,84,"121.426922,31.404648"
蕴川路1498弄,34,"121.430302,31.362992"
宝林四村,36,"121.491649,31.404517"
友谊路1869弄,91,"121.449228,31.393671"
德都路165弄,249,"121.427032,31.408710"
梅园三村,11,"121.522331,31.239218"
虎林路514号,11,"121.456251,31.339800"
宝钢六村,23,"121.480755,31.406262"
新市北路1501弄,10,"121.481323,31.304840"
马泾桥二村,58,"121.414169,31.418730"
月罗路259弄,66,"121.413974,31.420565"
肖泾村,14,"121.323482,31.466031"
中艺花园,12,"121.498429,31.399900"
浦钱潘村,36,"121.398937,31.437840"
杨南路,29,"121.398881,31.400423"
岛元东村,1,"121.777175,31.340661"
月罗公路,37,"121.382135,31.416589"
德都路58弄,34,"121.426870,31.404778"
罗南新村95弄,1,"121.371945,31.375998"
虹口区嘉兴街道四平路460弄,12,"121.492705,31.266811"
罗泾镇潘新路558弄,4,"121.323278,31.485255"
月富路88弄,74,"121.409872,31.428911"
罗店镇罗西路60弄,1,
德都路269弄,112,"121.425968,31.410785"
富联一路,2,"121.407532,31.366895"
广纪路,7,"121.482263,31.283835"
美兰湖路98弄,3,"121.361759,31.402962"
栖林路265弄,1,"121.319498,31.307427"
长春村,103,"121.388523,31.407429"
罗店镇毛家路200弄,1,"121.387473,31.421519"
盛桥明珠园,2,"121.404521,31.454637"
中冶锦园,11,"121.409872,31.428911"
联苏路,1,"121.347708,31.376542"
宝菊路133弄,15,"121.365300,31.342862"
月川路33弄,78,"121.406856,31.446632"
勤丰村,176,"121.391685,31.414943"
韶山路419弄,4,"121.364063,31.364372"
茂盛村东毛一宅,5,"121.399387,31.410499"
宝山镇德都路218弄,40,"121.424909,31.409767"
绥化路201弄,127,"121.431828,31.407265"
镇头桥村,3,"121.241389,31.161221"
桥钱潘村,20,"121.395850,31.429644"
德都路218弄,184,"121.424909,31.409767"
友谊路2858弄,23,"121.433971,31.383412"
松兰路1166弄,42,"121.444963,31.383886"
白玉路176弄,1,"121.416688,31.234429"
铁峰路2268弄,10,"121.451908,31.400951"
宝启公寓,18,"121.432870,31.370238"
月城路299弄,5,"121.433711,31.377886"
杨浦区政通路285弄,6,"121.511259,31.300806"
复兴中路,70,"121.456232,31.212412"
钦州路,23,"121.430049,31.174813"
斜土路,21,"121.441210,31.184266"
吴兴路,20,"121.445244,31.199493"
茅台路,44,"121.383120,31.211302"
蕰川路2488弄,9,"121.422372,31.391564"
吴淞三村,32,"121.495790,31.370504"
菊泉街39弄,14,"121.378379,31.351386"
盘古路715弄,12,"121.469821,31.404337"
金石路,6,"121.374128,31.465673"
湄星路,3,"121.417967,31.376881"
上海市番禺路222弄,2,"121.426924,31.206745"
申浦路166弄,11,"121.415737,31.422529"
宝山八村,75,"121.488271,31.412939"
宝钢九村,40,"121.476165,31.406202"
宝山区同济路60弄,13,"121.493245,31.369314"
泗塘新村,12,"121.454006,31.338750"
田旺路,9,"121.290565,31.290544"
春雷路136弄,144,"121.433750,31.404802"
陈翔公路1588弄,3,"121.306041,31.304975"
海江二村,6,"121.502938,31.392922"
月浦镇绥化路50弄,24,"121.436495,31.404738"
爱辉路28弄,12,"121.453199,31.326874"
中冶尚园,14,"121.412496,31.426578"
漕溪北路,23,"121.437086,31.184153"
白玉新村,57,"121.414038,31.232650"
宛南六村,47,"121.446980,31.178956"
水电路,20,"121.475742,31.284265"
天目中路749弄,28,"121.461563,31.247310"
蕰川路5053弄,30,"121.429184,31.379899"
四元路366弄,51,"121.423739,31.412966"
石门二路,6,"121.458515,31.237324"
月浦绥化路52弄,39,"121.435692,31.405312"
镇钱潘村,71,"121.403512,31.429255"
德都路88弄,114,"121.425256,31.406451"
塔源路58弄,63,"121.401061,31.444492"
宝山区杨行镇海迪路33弄,10,"121.443781,31.378011"
镇猛西村,4,"121.361252,31.746803"
月浦镇四元路360弄,6,"121.423631,31.412795"
江杨北路1568弄,100,"121.435835,31.398706"
太平村,1,"121.460622,31.220124"
春雷路54弄,1,"121.433750,31.404802"
通河二村,11,"121.450314,31.333451"
高青路2878弄,1,"121.529695,31.160475"
乡藕塘村,1,"121.300061,31.379556"
宝林二村,13,"121.486521,31.401619"
上海市虹口区玉田路407弄,23,"121.487835,31.279369"
上海市徐汇区高安路2弄,22,"121.443280,31.207152"
闸北区阳泉路345弄,47,"121.462693,31.312547"
月富路55弄,84,"121.412285,31.429520"
盘古路19弄,41,"121.493623,31.412207"
清峪路,24,"121.372241,31.239842"
东园西村,23,
蒲荣璐29弄,23,
顾北东路155弄3,11,"121.412346,31.358630"
上海市浦东新区成山路608弄,12,"121.509208,31.170762"
临汾路850弄,23,"121.450550,31.310877"
浦三村,1,
宝钢11村,19,"121.485866,31.409950"
潘泾路4655弄,14,"121.349500,31.462670"
愚园路,44,"121.436912,31.221210"
共和新路2169弄,14,"121.454445,31.276874"
月泉湾269弄,8,"121.426939,31.409785"
宝山区申浦路288弄,5,"121.413142,31.425572"
沈巷村,133,"121.410857,31.420411"
上海市普陀区富平路299弄,1,"121.415914,31.262839"
月浦塔源路302弄,12,"121.395715,31.450392"
盘古路895弄,5,"121.463384,31.402404"
宝钢四村,45,"121.485225,31.407648"
月浦镇宝月花园268弄,31,"121.411772,31.423016"
罗山路,24,"121.559989,31.243660"
普陀二村,25,"121.418159,31.235553"
菊太路777弄,5,"121.364949,31.352728"
静安区共和新路111弄,1,"121.462971,31.243721"
嘉定区南大街9弄,1,"121.252879,31.380644"
临江三村,12,"121.488347,31.411024"
友谊街道塘后路285弄,1,"121.504563,31.397560"
月浦二村,80,"121.428019,31.419493"
宝山区罗店镇祁北东路361弄,2,"121.346676,31.421186"
蕰川路1625弄,21,"121.432962,31.369256"
罗店镇祁北东路361弄,3,"121.346676,31.421186"
乡富民村,3,"121.812152,31.371218"
华灵路1895弄,1,"121.402354,31.282102"
月城路300弄,10,"121.434726,31.378628"
宝山区铁峰路2001弄,1,"121.455980,31.397046"
塘后路285弄,13,"121.504752,31.396587"
吉祥路,21,"121.487241,31.265356"
上海市长宁区虹桥路1053弄,2,"121.412367,31.197436"
上海市浦东新区东三里桥路160弄,2,"121.510597,31.199464"
潍坊四村,26,"121.524164,31.218283"
昌平路,13,"121.441168,31.234364"
天钥桥路,17,"121.441903,31.193697"
宜川六村,23,"121.440237,31.259009"
莲花路528弄,22,"121.401545,31.143584"
上海市虹口区高阳路242弄,16,"121.502102,31.252323"
镇北宗村,65,"121.326419,31.466678"
西康路,1,"121.444151,31.237939"
祁北东路,2,"121.361520,31.425394"
上海市衡水路89弄,1,"121.486072,31.255430"
沪南路,21,"121.567510,31.147600"
